,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,100.00%,60.02%,0.54054054054054ms,0,3244.572685,nan%,nan%,Calm
0,100.00%,60.56%,0.52631578947368ms,0,3120.103363,nan%,nan%,Calm
0,97.37%,61.26%,0.54054054054054ms,1,4107.187028,100.00%,0.00%,Calm
0,100.00%,55.83%,0.51282051282051ms,0,3361.82508,nan%,nan%,Calm
0,90.00%,61.75%,0.55555555555556ms,4,3702.85082,50.00%,50.00%,Tap
0,94.87%,63.17%,0.54054054054054ms,2,3619.604337,50.00%,50.00%,Calm
0,97.44%,52.90%,0.52631578947368ms,1,3361.315883,100.00%,0.00%,Calm
0,94.59%,60.46%,0.57142857142857ms,2,4312.415642,100.00%,0.00%,Tap
0,95.12%,61.74%,0.51282051282051ms,2,3108.983148,50.00%,50.00%,Calm
0,100.00%,62.90%,0.54054054054054ms,0,3578.293157,nan%,nan%,Calm